code,ident,name,type,length_ft,width_ft,surface,le_elevation_ft
AR,AR-0462,Termal Airport,small_airport,5905,108,CON,308
AR,AR-0513,Estancia La Alborada,small_airport,3281,85,GRE,208
AR,AR-0736,Ushuaia Aeroclub Airport,small_airport,5299,161,ASPH,17
AR,SA04,Isla Martin Garcia Airport,small_airport,4150,98,ASPH,7
AR,SA34,Trelew Aeroclub Airport,small_airport,5413,98,ASPH,128
AR,SAAC,Comodoro Pierrestegui Airport,medium_airport,5249,98,ASPH,112
AR,SAAG,Gualeguaychu Airport,medium_airport,4364,98,ASPH,75
AR,SAAP,General Urquiza Airport,medium_airport,6890,148,ASPH,243
AR,SAAR,Rosario Islas Malvinas International Airport,medium_airport,9842,148,CON,82
AR,SAAV,Sauce Viejo Airport,medium_airport,7628,98,ASPH,56
AR,SABE,Jorge Newbery Airpark,large_airport,7710,148,CON,18
AR,SACO,Ingeniero Ambrosio Taravella Airport,medium_airport,7218,148,ASPH,1526
AR,SADF,San Fernando Airport,medium_airport,5909,98,ASPH,10
AR,SADJ,Mariano Moreno Airport,small_airport,7874,131,ASPH,105
AR,SADL,La Plata Airport,medium_airport,4682,148,ASPH,69
AR,SADM,Morón Airport,small_airport,9350,131,ASPH,98
AR,SADP,El Palomar Airport,medium_airport,6923,147,CON,43
AR,SAEZ,Minister Pistarini International Airport,large_airport,10827,197,ASPH,62
AR,SAME,El Plumerillo Airport,medium_airport,9301,177,CON,2290
AR,SAMM,Comodoro D.R. Salomón Airport,medium_airport,4757,66,ASPH,4678
AR,SAMR,Suboficial Ay Santiago Germano Airport,medium_airport,6923,98,ASPH,2470
AR,SANC,Coronel Felipe Varela International Airport,medium_airport,9186,98,ASPH,1476
AR,SANE,Vicecomodoro Angel D. La Paz Aragonés Airport,medium_airport,7946,148,ASPH,654
AR,SANL,Capitan V A Almonacid Airport,medium_airport,9383,98,ASPH,1437
AR,SANR,Termas de Río Hondo international Airport,medium_airport,8232,98,ASPH,913
AR,SANT,Teniente Benjamin Matienzo Airport,medium_airport,11483,148,CON,1439
AR,SANU,Domingo Faustino Sarmiento Airport,medium_airport,8071,148,ASPH,1959
AR,SAOC,Area De Material Airport,medium_airport,7431,148,ASPH,1381
AR,SAOR,Villa Reynolds Airport,medium_airport,7874,164,ASPH,1590
AR,SAOS,Valle Del Conlara International Airport,small_airport,8366,148,CON,2017
AR,SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,medium_airport,9678,98,ASPH,2297
AR,SARC,Corrientes Airport,medium_airport,6890,148,CON,202
AR,SARE,Resistencia International Airport,medium_airport,9088,148,ASPH,171
AR,SARF,Aeropuerto Nacional de Formosa,medium_airport,5905,131,ASPH,193
AR,SARI,Cataratas Del Iguazú International Airport,medium_airport,10827,148,ASPH,908
AR,SARL,Paso De Los Libres Airport,medium_airport,7415,148,ASPH,230
AR,SARP,Libertador Gral D Jose De San Martin Airport,medium_airport,7218,98,ASPH,429
AR,SASA,Martin Miguel De Guemes International Airport,medium_airport,9842,148,ASPH,4088
AR,SASJ,Gobernador Horacio Guzman International Airport,medium_airport,9698,131,ASPH,3019
AR,SASO,Orán Airport,medium_airport,4839,98,ASPH,1166
AR,SAST,General Enrique Mosconi Airport,medium_airport,4921,98,ASPH,1457
AR,SAVC,General E. Mosconi Airport,medium_airport,9219,164,CON,189
AR,SAVE,Brigadier Antonio Parodi Airport,medium_airport,7874,131,ASPH,2621
AR,SAVT,Almirante Marco Andres Zar Airport,medium_airport,8399,148,CON,140
AR,SAVV,Gobernador Castello Airport,medium_airport,8366,148,ASPH,20
AR,SAWC,El Calafate - Commander Armando Tola International Airport,medium_airport,8366,148,CON,669
AR,SAWE,Gobernador Ramón Trejo Noel International Airport,medium_airport,6562,131,ASPH,66
AR,SAWG,Piloto Civil N. Fernández Airport,medium_airport,11644,148,CON,61
AR,SAWH,Malvinas Argentinas Airport,medium_airport,9186,148,CON,85
AR,SAWU,Santa Cruz Airport,medium_airport,6561,98,ASPH,364
AR,SAZA,Azul Airport,small_airport,4593,98,GRS,478
AR,SAZB,Comandante Espora Airport,medium_airport,6660,108,ASPH,246
AR,SAZM,Ástor Piazzola International Airport,medium_airport,7218,148,ASPH,71
AR,SAZN,Presidente Peron Airport,medium_airport,8432,148,ASPH,895
AR,SAZP,Comodoro Pedro Zanni Airport,medium_airport,4921,98,ASPH,279
AR,SAZR,Santa Rosa Airport,medium_airport,7546,98,ASPH,620
AR,SAZS,San Carlos De Bariloche Airport,medium_airport,7703,157,ASPH,2749
AR,SAZT,Héroes De Malvinas Airport,medium_airport,8366,157,CON,574
AR,SAZV,Villa Gesell Airport,medium_airport,5709,92,ASPH,34
AR,SAZW,Cutral-Co Airport,medium_airport,5558,98,ASPH,2133
AR,SAZY,Aviador C. Campos Airport,medium_airport,8205,148,ASPH,2568
BO,SLCB,Jorge Wilsterman International Airport,medium_airport,8692,148,ASPH,8337
BO,SLCO,Capitán Aníbal Arab Airport,medium_airport,6562,98,ASPH,892
BO,SLCP,Concepción Airport,small_airport,5653,98,GRS,1635
